region year litter_type ground litter mortality
south 2017 fine_woody_litter below 0.0224182294940785 natural
south 2018 fine_woody_litter below 0.0224198579485204 natural
south 2019 fine_woody_litter below 0.0224237843534624 natural
south 2020 fine_woody_litter below 0.022423655737631 natural
south 2021 fine_woody_litter below 0.0224278579513757 natural
north 1990 non-woody_litter above 0.00201111900096071 natural
north 1991 non-woody_litter above 0.00201119250721622 natural
north 1992 non-woody_litter above 0.00201130976385243 natural
north 1993 non-woody_litter above 0.00201158625201052 natural
north 1994 non-woody_litter above 0.0020118859173039 natural
north 1995 non-woody_litter above 0.00201229696255613 natural
north 1996 non-woody_litter above 0.00201264185934388 natural
north 1997 non-woody_litter above 0.00229658224360301 natural
