region tkg species component year bm
2 2 1 2 1999 1.20625132280818
2 2 1 3 1999 2.52570887525951
2 2 1 4 1999 1.13391672515436
2 2 1 5 1999 0.549614677592928
2 2 1 6 1999 1.06536171076996
2 2 1 7 1999 2.90035964466975
2 2 2 1 1999 6.35317544376751
2 2 2 2 1999 0.96008759504113
2 2 2 3 1999 2.7739368204316
2 2 2 4 1999 2.13525553051337
2 2 2 5 1999 0.325861295585235
2 2 2 6 1999 0.758621725945239
2 2 2 7 1999 3.24663897597541
2 2 3 1 1999 11.3773289504934
2 2 3 2 1999 2.26991110727498
2 2 3 3 1999 3.16875180718184
2 2 3 4 1999 1.10028967524908
2 2 3 5 1999 0.221538157281126
2 2 3 6 1999 1.58075288541968
2 2 3 7 1999 4.97227249356171
2 4 1 1 1999 12.1932856224696
2 4 1 2 1999 1.78421367313711
2 4 1 3 1999 3.46362620784585
2 4 1 4 1999 1.63220658486423
2 4 1 5 1999 0.747991766028752
2 4 1 6 1999 1.38542185158726
2 4 1 7 1999 3.61497281172537
2 4 2 1 1999 1.14453988159293
2 4 2 2 1999 0.207805231456391
2 4 2 3 1999 0.65526221755537
2 4 2 4 1999 0.561609509932242
2 4 2 5 1999 0.0667981844635725
2 4 2 6 1999 0.168116839557186
2 4 2 7 1999 0.771556817704832
2 4 3 1 1999 3.57667643759723
2 4 3 2 1999 0.757471143174325
2 4 3 3 1999 1.13983574109215
2 4 3 4 1999 0.44295771397308
2 4 3 5 1999 0.0930465248185788
2 4 3 6 1999 0.625134911154332
2 4 3 7 1999 1.88103022704891
2 6 1 1 1999 7.75461730974689
2 6 1 2 1999 1.45780796347612
2 6 1 3 1999 2.58237506119388
2 6 1 4 1999 1.28604917000237
2 6 1 5 1999 0.631751033350497
2 6 1 6 1999 0.969653637882601
2 6 1 7 1999 2.42520546296255
2 6 2 1 1999 0.194612147557746
2 6 2 2 1999 0.0405309097375066
2 6 2 3 1999 0.141841608877525
2 6 2 4 1999 0.125911646857663
2 6 2 5 1999 0.0112349451366563
2 6 2 6 1999 0.0332698144205972
2 6 2 7 1999 0.15755426464527
2 6 3 1 1999 0.826202902123049
2 6 3 2 1999 0.18844340212666
2 6 3 3 1999 0.334714802212206
2 6 3 4 1999 0.14389286801863
2 6 3 5 1999 0.0292650130801005
2 6 3 6 1999 0.205303027068167
2 6 3 7 1999 0.532765927474245
2 7 1 1 1999 4.08968142115507
2 7 1 2 1999 1.0171490809114
2 7 1 3 1999 1.18839530530564
2 7 1 4 1999 0.732511449484038
2 7 1 5 1999 0.453698307096693
2 7 1 6 1999 0.486849004960893
2 7 1 7 1999 1.18788819519181
2 7 2 1 1999 0.920661850907479
2 7 2 2 1999 0.30325077075611
2 7 2 3 1999 0.226069927413026
2 7 2 4 1999 0.176900145067244
2 7 2 5 1999 0.0998058725690649
2 7 2 6 1999 0.100253597137765
2 7 2 7 1999 0.22747949196117
2 7 3 1 1999 0.0555213266190661
2 7 3 2 1999 0.0115757532395531
2 7 3 3 1999 0.0259747766760657
2 7 3 4 1999 0.0246405424594135
2 7 3 5 1999 0.00101324127037067
2 7 3 6 1999 0.00946021630720125
2 7 3 7 1999 0.0246535230229479
1 1 1 1 2000 6.80163884233802
1 1 1 2 2000 0.475411046353599
1 1 1 3 2000 1.19240964668333
1 1 1 4 2000 0.44193695388949
1 1 1 5 2000 0.318265728117954
1 1 1 6 2000 0.600570350022237
1 1 1 7 2000 1.8764794294753
1 1 2 1 2000 22.2088405850298
1 1 2 2 2000 2.72361188096173
1 1 2 3 2000 7.42047515907668
1 1 2 4 2000 5.18401372323636
1 1 2 5 2000 0.927437902128571
1 1 2 6 2000 2.3322833584197
1 1 2 7 2000 8.97057162287253
1 1 3 1 2000 23.5391805637842
1 1 3 2 2000 3.86312024885192
1 1 3 3 2000 5.1800788960082
1 1 3 4 2000 1.46909925421209
1 1 3 5 2000 0.198201468838201
1 1 3 6 2000 2.32758146093044
1 1 3 7 2000 8.00273363559882
1 2 1 1 2000 18.4003817381464
1 2 1 2 2000 1.488231747263
1 2 1 3 2000 3.34470013764516
1 2 1 4 2000 1.31070488127679
1 2 1 5 2000 0.775696744759492
1 2 1 6 2000 1.66519507265465
1 2 1 7 2000 4.96975970955433
1 2 2 1 2000 16.239403284541
1 2 2 2 2000 2.09921006953641
1 2 2 3 2000 5.58767116925328
1 2 2 4 2000 4.1608551263623
1 2 2 5 2000 0.731733373531258
1 2 2 6 2000 1.70873148721088
1 2 2 7 2000 6.94461890174364
1 2 3 1 2000 15.9135084348544
1 2 3 2 2000 2.73010816605033
1 2 3 3 2000 3.55665754994888
1 2 3 4 2000 1.06459240404488
1 2 3 5 2000 0.154703575907088
1 2 3 6 2000 1.7914406041933
1 2 3 7 2000 6.14812407305195
1 4 1 1 2000 27.3816114603792
1 4 1 2 2000 2.64924425392433
1 4 1 3 2000 5.4616638596982
1 4 1 4 2000 2.31896636970013
1 4 1 5 2000 1.21832227739649
1 4 1 6 2000 2.57368903226789
1 4 1 7 2000 7.27946384329508
1 4 2 1 2000 2.46875710917446
1 4 2 2 2000 0.389239504134876
1 4 2 3 2000 1.10570533420039
1 4 2 4 2000 0.935650466910142
1 4 2 5 2000 0.130173500145958
1 4 2 6 2000 0.317644667866014
1 4 2 7 2000 1.41604113435662
1 4 3 1 2000 7.90712922511428
1 4 3 2 2000 1.45081331710475
1 4 3 3 2000 1.94613217806397
1 4 3 4 2000 0.679883378176711
1 4 3 5 2000 0.117084097776278
1 4 3 6 2000 1.04488536367029
1 4 3 7 2000 3.56045570410543
1 6 1 1 2000 18.998397598714
1 6 1 2 2000 2.51368077588023
1 6 1 3 2000 4.75402206167898
1 6 1 4 2000 2.2052983737661
1 6 1 5 2000 1.0165246823092
1 6 1 6 2000 2.00248313023696
1 6 1 7 2000 5.30166820509533
1 6 2 1 2000 0.178245086469342
1 6 2 2 2000 0.0350453172728204
1 6 2 3 2000 0.101692439227324
1 6 2 4 2000 0.0917135008599499
1 6 2 5 2000 0.0134039500959345
1 6 2 6 2000 0.0303529649474286
1 6 2 7 2000 0.146614485348275
1 6 3 1 2000 1.54823118681052
